graphics_card,cpu,benchmark,resolution,FPS
Arc A770,Ryzen 5600G OC,Assassin's Creed Odyssey,1080,48
Arc A770,Ryzen 5600G OC,Assassin's Creed Odyssey,1440,47
Arc A770,Ryzen 5600G OC,Assassin's Creed Odyssey,2160,33
Arc A770,Ryzen 5800X3D,Assassin's Creed Odyssey,1080,56
Arc A770,Ryzen 5800X3D,Assassin's Creed Odyssey,1440,50
Arc A770,Ryzen 5800X3D,Assassin's Creed Odyssey,2160,36
GTX 1080 Ti,Ryzen 5600G OC,Assassin's Creed Odyssey,1080,69
GTX 1080 Ti,Ryzen 5600G OC,Assassin's Creed Odyssey,1440,54
GTX 1080 Ti,Ryzen 5600G OC,Assassin's Creed Odyssey,2160,37
GTX 1080 Ti,Ryzen 5800X3D,Assassin's Creed Odyssey,1080,74
GTX 1080 Ti,Ryzen 5800X3D,Assassin's Creed Odyssey,1440,60
GTX 1080 Ti,Ryzen 5800X3D,Assassin's Creed Odyssey,2160,40
Arc A770,Ryzen 5600G OC,Assassin's Creed Valhalla,1080,73
Arc A770,Ryzen 5600G OC,Assassin's Creed Valhalla,1440,63
Arc A770,Ryzen 5600G OC,Assassin's Creed Valhalla,2160,39
Arc A770,Ryzen 5800X3D,Assassin's Creed Valhalla,1080,73
Arc A770,Ryzen 5800X3D,Assassin's Creed Valhalla,1440,61
Arc A770,Ryzen 5800X3D,Assassin's Creed Valhalla,2160,38
GTX 1080 Ti,Ryzen 5600G OC,Assassin's Creed Valhalla,1080,72
GTX 1080 Ti,Ryzen 5600G OC,Assassin's Creed Valhalla,1440,57
GTX 1080 Ti,Ryzen 5600G OC,Assassin's Creed Valhalla,2160,34
GTX 1080 Ti,Ryzen 5800X3D,Assassin's Creed Valhalla,1080,76
GTX 1080 Ti,Ryzen 5800X3D,Assassin's Creed Valhalla,1440,61
GTX 1080 Ti,Ryzen 5800X3D,Assassin's Creed Valhalla,2160,35
Arc A770,Ryzen 5600G OC,Callisto Protocol,1080,84
Arc A770,Ryzen 5600G OC,Callisto Protocol,1440,68
Arc A770,Ryzen 5600G OC,Callisto Protocol,2160,46
Arc A770,Ryzen 5800X3D,Callisto Protocol,1080,86
Arc A770,Ryzen 5800X3D,Callisto Protocol,1440,69
Arc A770,Ryzen 5800X3D,Callisto Protocol,2160,47
GTX 1080 Ti,Ryzen 5600G OC,Callisto Protocol,1080,69
GTX 1080 Ti,Ryzen 5600G OC,Callisto Protocol,1440,55
GTX 1080 Ti,Ryzen 5600G OC,Callisto Protocol,2160,38
GTX 1080 Ti,Ryzen 5800X3D,Callisto Protocol,1080,71
GTX 1080 Ti,Ryzen 5800X3D,Callisto Protocol,1440,57
GTX 1080 Ti,Ryzen 5800X3D,Callisto Protocol,2160,38
Arc A770,Ryzen 5600G OC,Cyberpunk 2077,1080,64
Arc A770,Ryzen 5600G OC,Cyberpunk 2077,1440,46
Arc A770,Ryzen 5600G OC,Cyberpunk 2077,2160,37
Arc A770,Ryzen 5800X3D,Cyberpunk 2077,1080,70
Arc A770,Ryzen 5800X3D,Cyberpunk 2077,1440,57
Arc A770,Ryzen 5800X3D,Cyberpunk 2077,2160,38
