ram_mts,ram_timings,gpu_core_mhz,benchmark,score_type,score
2133,16-16-16-36,1900,Tomb Raider 2013,FPS,42.4
2133,16-16-16-36,1900,Assassin's Creed Odyssey,Frames,1554
2133,16-16-16-36,1900,Shadow of the Tomb Raider,Frames,3340
2133,16-16-16-36,1900,Middle Earth: Shadow of War,FPS,21.14164904862579
2133,16-16-16-36,1900,Metro Exodus,FPS,34.68
2133,16-16-16-36,1900,GeekBench 5 Vulkan Compute,Score,14722
2133,16-16-16-36,1900,Tomb Raider 2013,FPS,41.7
2133,16-16-16-36,1900,Assassin's Creed Odyssey,Frames,1552
2133,16-16-16-36,1900,Shadow of the Tomb Raider,Frames,3345
2133,16-16-16-36,1900,Middle Earth: Shadow of War,FPS,21.09704641350211
2133,16-16-16-36,1900,Metro Exodus,FPS,34.88
2133,16-16-16-36,1900,GeekBench 5 Vulkan Compute,Score,14759
2133,16-16-16-36,1900,Tomb Raider 2013,FPS,41.8
2133,16-16-16-36,1900,Assassin's Creed Odyssey,Frames,1553
2133,16-16-16-36,1900,Shadow of the Tomb Raider,Frames,3342
2133,16-16-16-36,1900,Middle Earth: Shadow of War,FPS,21.09704641350211
2133,16-16-16-36,1900,Metro Exodus,FPS,34.62
2133,16-16-16-36,1900,GeekBench 5 Vulkan Compute,Score,14895
2133,16-16-16-36,2100,Tomb Raider 2013,FPS,42.6
2133,16-16-16-36,2100,Assassin's Creed Odyssey,Frames,1565
2133,16-16-16-36,2100,Shadow of the Tomb Raider,Frames,3395
2133,16-16-16-36,2100,Middle Earth: Shadow of War,FPS,21.14164904862579
2133,16-16-16-36,2100,Metro Exodus,FPS,35.74
2133,16-16-16-36,2100,GeekBench 5 Vulkan Compute,Score,15118
2133,16-16-16-36,2100,Tomb Raider 2013,FPS,43.1
2133,16-16-16-36,2100,Assassin's Creed Odyssey,Frames,1547
2133,16-16-16-36,2100,Shadow of the Tomb Raider,Frames,3389
2133,16-16-16-36,2100,Middle Earth: Shadow of War,FPS,20.876826722338205
2133,16-16-16-36,2100,Metro Exodus,FPS,35.5
2133,16-16-16-36,2100,GeekBench 5 Vulkan Compute,Score,15137
2133,16-16-16-36,2100,Tomb Raider 2013,FPS,42.6
2133,16-16-16-36,2100,Assassin's Creed Odyssey,Frames,1564
2133,16-16-16-36,2100,Shadow of the Tomb Raider,Frames,3388
2133,16-16-16-36,2100,Middle Earth: Shadow of War,FPS,20.964360587002098
2133,16-16-16-36,2100,Metro Exodus,FPS,36.02
2133,16-16-16-36,2100,GeekBench 5 Vulkan Compute,Score,15362
2133,16-16-16-36,2300,Tomb Raider 2013,FPS,43
2133,16-16-16-36,2300,Assassin's Creed Odyssey,Frames,1592
2133,16-16-16-36,2300,Shadow of the Tomb Raider,Frames,3487
2133,16-16-16-36,2300,Middle Earth: Shadow of War,FPS,21.36752136752137
2133,16-16-16-36,2300,Metro Exodus,FPS,35.82
2133,16-16-16-36,2300,GeekBench 5 Vulkan Compute,Score,15808
2133,16-16-16-36,2300,Tomb Raider 2013,FPS,43
2133,16-16-16-36,2300,Assassin's Creed Odyssey,Frames,1593
2133,16-16-16-36,2300,Shadow of the Tomb Raider,Frames,3457
2133,16-16-16-36,2300,Middle Earth: Shadow of War,FPS,21.36752136752137
2133,16-16-16-36,2300,Metro Exodus,FPS,35.78
2133,16-16-16-36,2300,GeekBench 5 Vulkan Compute,Score,16274
2133,16-16-16-36,2300,Tomb Raider 2013,FPS,43
2133,16-16-16-36,2300,Assassin's Creed Odyssey,Frames,1597
2133,16-16-16-36,2300,Shadow of the Tomb Raider,Frames,3481
2133,16-16-16-36,2300,Middle Earth: Shadow of War,FPS,21.32196162046908
2133,16-16-16-36,2300,Metro Exodus,FPS,35.77
2133,16-16-16-36,2300,GeekBench 5 Vulkan Compute,Score,16265
2133,16-16-16-36,2500,Tomb Raider 2013,FPS,43.6
2133,16-16-16-36,2500,Assassin's Creed Odyssey,Frames,1572
2133,16-16-16-36,2500,Shadow of the Tomb Raider,Frames,3468
2133,16-16-16-36,2500,Middle Earth: Shadow of War,FPS,21.551724137931036
2133,16-16-16-36,2500,Metro Exodus,FPS,36.07
2133,16-16-16-36,2500,GeekBench 5 Vulkan Compute,Score,16932
2133,16-16-16-36,2500,Tomb Raider 2013,FPS,44
2133,16-16-16-36,2500,Assassin's Creed Odyssey,Frames,1568
2133,16-16-16-36,2500,Shadow of the Tomb Raider,Frames,3482
2133,16-16-16-36,2500,Middle Earth: Shadow of War,FPS,21.459227467811157
2133,16-16-16-36,2500,Metro Exodus,FPS,36.14
2133,16-16-16-36,2500,GeekBench 5 Vulkan Compute,Score,16984
