year,title,hours,minutes,seconds,total_seconds,time_stamp
2008,Crysis,00,00,06,6,00:00:06
2008,The Witcher,00,03,21,201,00:03:21
2008,PAINKILLER (short video),00,06,52,412,00:06:52
2008,No More Heroes,00,08,46,526,00:08:46
2008,Burnout Paradise,00,12,11,731,00:12:11
2008,Sonic Unleashed,00,15,41,941,00:15:41
2008,Condemned 2: Bloodshot,00,20,06,1206,00:20:06
2008,Super Smash Bros Brawl,00,24,08,1448,00:24:08
2008,God of War: Chains of Olympus,00,27,57,1677,00:27:57
2008,Mailbag Showdown,00,31,15,1875,00:31:15
2008,Grand Theft Auto 4,00,35,23,2123,00:35:23
2008,Painkiller,00,39,21,2361,00:39:21
2008,The World Ends With You,00,42,51,2571,00:42:51
2008,Elder Scrolls: Oblivion,00,46,35,2795,00:46:35
2008,HAZE,00,50,42,3042,00:50:42
2008,Metal Gear Solid 4,00,53,56,3236,00:53:56
2008,Webcomics,00,57,50,3470,00:57:50
2008,LEGO Indiana Jones,01,01,39,3699,01:01:39
2008,Alone in the Dark: Illumination,01,05,35,3935,01:05:35
2008,Age of Conan: Hydorian Adventures,01,09,47,4187,01:09:47
2008,E3 Roundup,01,13,50,4430,01:13:50
2008,Ninja Gaiden 2,01,17,54,4674,01:17:54
2008,Prince of Persia Retrospective,01,21,49,4909,01:21:49
2008,Soul Caliber 4,01,26,15,5175,01:26:15
2008,Braid,01,30,22,5422,01:30:22
2008,EVE Online,01,34,11,5651,01:34:11
2008,Too Human,01,38,14,5894,01:38:14
2008,Spore,01,42,18,6138,01:42:18
2008,XBLA Double Bill (Bionic Commando Rearmed and Castle Crashers),01,46,14,6374,01:46:14
2008,Mercenaries 2,01,50,18,6618,01:50:18
2008,Star Wars: The Force Unleashed,01,54,28,6868,01:54:28
2008,S.T.A.L.K.E.R. Clear Sky,01,58,43,7123,01:58:43
2008,Silent Hill Homecoming,02,02,52,7372,02:02:52
2008,"Silent Hill Short ""Call for Mr. Mason""",02,07,22,7642,02:07:22
2008,Saints Row 2,02,09,32,7772,02:09:32
2008,Dead Space,02,13,39,8019,02:13:39
2008,Fable 2,02,17,41,8261,02:17:41
2008,Fallout 3,02,22,21,8541,02:22:21
2008,Guitar Hero World Tour,02,26,01,8761,02:26:01
2008,Deus Ex Song,02,30,00,9000,02:30:00
2008,Mirror's Edge,02,31,00,9060,02:31:00
2008,Left for Dead,02,34,53,9293,02:34:53
2008,Sonic Unleashed (Again for some reason),02,38,31,9511,02:38:31
2008,2008 - Year in Review,02,42,56,9776,02:42:56
2008,Prince of Persia Remake,02,46,32,9992,02:46:32
2009,Awards for 2008,00,00,05,5,00:00:05
2009,Tomb Raider: Underworld,00,04,53,293,00:04:53
2009,Far Cry 2,00,08,57,537,00:08:57
2009,Gears of War 2,00,13,16,796,00:13:16
2009,Little Big Planet,00,17,32,1052,00:17:32
2009,Satan Butt,00,21,54,1314,00:21:54
2009,Thief: The Dark Project,00,22,18,1338,00:22:18
2009,Skate 2,00,26,21,1581,00:26:21
2009,FEAR 2,00,30,38,1838,00:30:38
2009,Spiderman: Web of Shadows,00,34,52,2092,00:34:52
2009,House of the Dead: Overkill,00,39,03,2343,00:39:03
2009,50 Cent: Blood on the Sand,00,43,09,2589,00:43:09
2009,Resident Evil 5,00,47,27,2847,00:47:27
2009,XBlades,00,52,15,3135,00:52:15
2009,Halo Wars,00,53,57,3237,00:53:57
2009,Pedigree Chum,00,58,52,3532,00:58:52
2009,GTA Chinatown Wars,00,59,12,3552,00:59:12
2009,MADWORLD,01,03,38,3818,01:03:38
2009,Tom Clancy's H.A.W.X.,01,07,48,4068,01:07:48
